location,reference_date,decrease,increase,stable
25,2024-11-30,0.0498967653131452,0.1194081211286992,0.8306951135581555
25,2024-12-07,0.032617671345995,0.3158546655656482,0.6515276630883567
25,2024-12-14,0.017583239805462,0.382716049382716,0.599700710811822
25,2024-12-21,0.0,0.8441176470588234,0.1558823529411764
25,2024-12-28,0.0,0.9594594594594594,0.0405405405405405
25,2025-01-04,0.0,0.901639344262295,0.0983606557377049
25,2025-01-11,0.0703517587939698,0.7437185929648241,0.185929648241206
25,2025-01-18,0.3282891971416561,0.47330811265237493,0.1984026902059689
25,2025-02-01,0.1727642276422764,0.6483739837398375,0.1788617886178861
25,2025-02-08,0.819571865443425,0.0733944954128439,0.1070336391437308
25,2025-02-15,0.745,0.18833333333333319,0.0666666666666666
25,2025-02-22,0.8153846153846154,0.11384615384615379,0.0707692307692307
25,2025-03-01,1.0,0.0,0.0
25,2025-03-08,1.0,0.0,0.0
25,2025-03-15,1.0,0.0,0.0
25,2025-03-22,0.9939467312348669,0.0,0.0060532687651331
26,2023-10-14,0.0,0.0081967213114754,0.9918032786885246
26,2023-10-21,0.0,0.0,1.0
26,2023-10-28,0.0,0.0,1.0
26,2023-11-04,0.0,0.0,1.0
26,2023-11-11,0.0,0.0,1.0
26,2023-11-18,0.0,0.0,1.0
26,2023-11-25,0.0,0.0,1.0
26,2023-12-02,0.0,0.0,1.0
26,2023-12-09,0.0,0.0,1.0
26,2023-12-16,0.0,0.2979281704924017,0.7020718295075983
26,2023-12-23,6.869861915775493e-05,0.4535024846000595,0.5464288167807827
26,2023-12-30,0.0,0.1317721076546661,0.8682278923453338
26,2024-01-06,0.001885014137606,0.6116870876531574,0.3864278982092365
26,2024-01-13,0.0012566760917373,0.5582783537543198,0.4404649701539428
26,2024-01-20,0.0,0.0297766749379652,0.9702233250620348
26,2024-01-27,0.1074548039813122,0.09394678041844401,0.7985984156002438
26,2024-02-03,0.1368618016573108,0.0125634856990109,0.8505747126436781
26,2024-02-10,0.3263558515699334,0.0,0.6736441484300666
26,2024-02-17,0.9425287356321839,0.0,0.057471264367816
26,2024-02-24,0.9999999999999999,0.0,0.0
26,2024-03-09,1.0,0.0,0.0
26,2024-03-16,0.865,0.0,0.135
26,2024-03-23,0.643,0.047,0.31
26,2024-03-30,0.246,0.002,0.752
26,2024-04-06,0.551,0.0,0.449
26,2024-04-13,0.883,0.0,0.117
26,2024-04-20,0.843,0.0,0.157
26,2024-04-27,0.0,0.0,1.0
26,2024-05-04,0.0,0.0,1.0
26,2024-11-30,0.0010718113612004,0.045016077170418,0.9539121114683816
26,2024-12-07,0.0,0.0421338769962623,0.9578661230037376
26,2024-12-14,0.0023209549071618,0.131631299734748,0.8660477453580901
26,2024-12-21,0.0,0.7358490566037735,0.2641509433962264
26,2024-12-28,0.0,0.9891304347826088,0.0108695652173913
26,2025-01-04,0.008695652173913,0.855072463768116,0.136231884057971
26,2025-01-11,0.0,0.9551451187335092,0.0448548812664907
26,2025-01-18,0.0201765447667087,0.8457335014712063,0.1340899537620849
26,2025-02-01,0.9169435215946844,0.0299003322259136,0.0531561461794019
26,2025-02-08,0.2913973147687716,0.47090999502734954,0.2376926902038786
26,2025-02-15,0.4907809110629066,0.3720173535791756,0.1372017353579175
26,2025-02-22,0.8600917431192661,0.0619266055045871,0.0779816513761468
26,2025-03-01,0.9930898321816387,0.0026089409110139,0.0043012269073473
26,2025-03-08,0.9987546699875466,0.0,0.0012453300124533
26,2025-03-15,0.9639769452449567,0.0100864553314121,0.0259365994236311
26,2025-03-22,0.8924611973392461,0.0210643015521064,0.0864745011086474
27,2023-10-14,0.0,0.0061349693251533,0.9938650306748468
27,2023-10-21,0.0,0.0,1.0
27,2023-10-28,0.0,0.0,1.0
27,2023-11-04,0.0,0.0,1.0
27,2023-11-11,0.0,0.0,1.0
27,2023-11-18,0.0,0.0,1.0
27,2023-11-25,0.0,0.0,1.0
27,2023-12-02,0.0,0.0,1.0
27,2023-12-09,0.0,0.0,1.0
27,2023-12-16,0.0,0.0324719134082309,0.9675280865917693
27,2023-12-23,0.0,0.1541281250894927,0.8458718749105072
27,2023-12-30,0.0,0.0689269486193638,0.931073051380636
27,2024-01-06,0.0,0.6207979893182533,0.3792020106817468
27,2024-01-13,0.0,0.5416273955387998,0.4583726044612001
27,2024-01-20,0.0,0.0775510204081632,0.9224489795918368
27,2024-01-27,0.0020686412787964,0.0903620122237893,0.9075693464974142
27,2024-02-03,0.126973965002134,0.0451700099587423,0.8278560250391236
27,2024-02-10,0.0171662485144592,0.0108279413706589,0.972005810114882
27,2024-02-17,0.0199004975124378,0.0,0.9800995024875622
27,2024-02-24,0.3082474226804124,0.0,0.6917525773195876
27,2024-03-02,0.5574712643678161,0.0,0.4425287356321839
27,2024-03-09,0.509,0.0,0.491
27,2024-03-16,0.177,0.0,0.823
27,2024-03-23,0.63,0.0,0.37
27,2024-03-30,0.002,0.0,0.998
27,2024-04-06,0.0,0.0,1.0
27,2024-04-13,0.031,0.0,0.969
27,2024-04-20,0.0,0.0,1.0
27,2024-04-27,0.0,0.0,1.0
27,2024-05-04,0.0,0.0,1.0
27,2024-11-30,0.0,0.0042305658381808,0.9957694341618192
27,2024-12-07,0.0364016736401673,0.0184100418410041,0.9451882845188284
27,2024-12-14,0.0487603305785123,0.1380165289256198,0.8132231404958677
27,2024-12-21,0.0125756870051234,0.7349790405216582,0.2524452724732184
27,2024-12-28,0.0,0.983050847457627,0.0169491525423728
27,2025-01-04,0.0,1.0,0.0
27,2025-01-11,0.0,0.9999999999999998,0.0
27,2025-01-18,0.8415300546448087,0.1340899537620848,0.0243799915931063
27,2025-02-01,0.9999999999999999,0.0,0.0
27,2025-02-08,1.0,0.0,0.0
27,2025-02-15,0.9908592321755026,0.0018281535648994,0.0073126142595978
27,2025-02-22,0.998740025199496,0.0,0.0012599748005039
27,2025-03-01,0.9718481435127242,0.005623696287025359,0.0225281602002503
27,2025-03-08,0.9572124151674092,0.0053766473032165,0.0374109375293741
27,2025-03-15,0.942024655951883,0.0038238632968871,0.0541514807512298
27,2025-03-22,0.9458375647735853,0.0022394083795536,0.0519230268468609
28,2023-10-14,0.0,0.0995850622406638,0.9004149377593361
28,2023-10-21,0.0,0.0610687022900763,0.9389312977099236
28,2023-10-28,0.0,0.0095238095238095,0.9904761904761904
28,2023-11-04,0.0,0.0095238095238095,0.9904761904761904
28,2023-11-11,0.0114285714285714,0.0057142857142857,0.9828571428571428
28,2023-11-18,0.0,0.0101351351351351,0.9898648648648648
28,2023-11-25,0.0124649423496416,0.07105017139295719,0.9164848862574012
28,2023-12-02,0.0,0.0281943611277744,0.9718056388722256
28,2023-12-09,0.0200142959256611,0.1279485346676197,0.852037169406719
28,2023-12-16,0.0394165951709767,0.35976222576296113,0.600821179066062
28,2023-12-23,0.050680294683745804,0.4406849405986593,0.5086347647175947
28,2023-12-30,0.166165676336945,0.32995456134218804,0.5038797623208668
28,2024-01-06,0.0109959158027018,0.7602890355010995,0.2287150486961985
28,2024-01-13,0.0358152686145145,0.6126295947219604,0.351555136663525
28,2024-01-20,0.2542542542542542,0.09009009009009,0.6556556556556556
